dia,precio_qchaucoin,demanda,inflacion,dP_dt
0,1.0,0.01,0.004,0.0025
1,1.0025,0.013318,0.004166,0.00375
2,1.00625,0.016544,0.004332,0.004725
3,1.010975,0.019589,0.004495,0.005427
4,1.016402,0.022367,0.004654,0.005859
5,1.022261,0.024804,0.004809,0.006028
6,1.028289,0.026829,0.004959,0.005945
7,1.034234,0.028389,0.005102,0.005626
8,1.03986,0.029439,0.005237,0.005089
9,1.044949,0.02995,0.005363,0.004359
10,1.049308,0.029908,0.00548,0.003464
11,1.052772,0.029315,0.005587,0.002434
12,1.055205,0.028186,0.005683,0.001303
13,1.056509,0.026553,0.005767,0.000107
14,1.056616,0.024462,0.005839,-0.001116
15,1.0555,0.021969,0.005898,-0.00233
16,1.05317,0.019145,0.005944,-0.003498
17,1.049671,0.016068,0.005976,-0.004586
18,1.045086,0.012822,0.005995,-0.005559
19,1.039526,0.009499,0.006,-0.00639
20,1.033136,0.006189,0.005991,-0.007054
21,1.026082,0.002984,0.005968,-0.007529
22,1.018553,-2.6e-05,0.005931,-0.007802
23,1.010751,-0.002758,0.005882,-0.007863
24,1.002888,-0.005136,0.005819,-0.007709
25,0.995179,-0.007095,0.005743,-0.007342
26,0.987837,-0.00858,0.005655,-0.006771
27,0.981066,-0.009551,0.005556,-0.006012
28,0.975054,-0.009979,0.005446,-0.005083
29,0.969971,-0.009854,0.005326,-0.004009
30,0.965962,-0.009178,0.005197,-0.002819
31,0.963143,-0.007972,0.005059,-0.001545
32,0.961598,-0.006267,0.004915,-0.00022
33,0.961378,-0.004111,0.004763,0.001118
34,0.962497,-0.001564,0.004607,0.002435
35,0.964932,0.001303,0.004446,0.003695
36,0.968627,0.004412,0.004282,0.004862
37,0.973488,0.007675,0.004116,0.005906
38,0.979394,0.011003,0.00395,0.006798
39,0.986192,0.014302,0.003784,0.007514
40,0.993706,0.017483,0.003619,0.008034
41,1.001741,0.020456,0.003457,0.008345
42,1.010086,0.02314,0.003298,0.008438
43,1.018523,0.025459,0.003145,0.00831
44,1.026833,0.02735,0.002997,0.007964
45,1.034797,0.02876,0.002857,0.007412
46,1.042209,0.02965,0.002724,0.006667
47,1.048876,0.029996,0.0026,0.00575
48,1.054626,0.029787,0.002486,0.004686
49,1.059311,0.02903,0.002383,0.003503
50,1.062815,0.027746,0.00229,0.002236
51,1.06505,0.02597,0.00221,0.000917
52,1.065967,0.023751,0.002142,-0.000417
53,1.06555,0.021151,0.002087,-0.001731
54,1.063819,0.018242,0.002045,-0.002988
55,1.060831,0.015105,0.002017,-0.004154
56,1.056677,0.011826,0.002002,-0.005199
57,1.051478,0.008497,0.002001,-0.006094
58,1.045384,0.005209,0.002015,-0.006815
59,1.038569,0.002054,0.002042,-0.007344
60,1.031225,-0.00088,0.002082,-0.007666
61,1.023559,-0.003514,0.002136,-0.007775
62,1.015784,-0.005772,0.002203,-0.007668
63,1.008116,-0.007594,0.002282,-0.007349
64,1.000767,-0.008928,0.002373,-0.006828
65,0.993938,-0.009737,0.002476,-0.006121
66,0.987817,-0.01,0.002589,-0.005249
67,0.982568,-0.009708,0.002712,-0.004236
68,0.978333,-0.00887,0.002844,-0.003111
69,0.975222,-0.007509,0.002983,-0.001907
